,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",7571984,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,Beggin',Måneskin,6827653,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
3,"Bad Habits","Ed Sheeran",5739951,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
4,"good 4 u","Olivia Rodrigo",5646200,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
5,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",5452399,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
6,"Happier Than Ever","Billie Eilish",4423529,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
7,"MONTERO (Call Me By Your Name)","Lil Nas X",4291922,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
8,"Kiss Me More (feat. SZA)","Doja Cat",4176396,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
9,"Todo De Ti","Rauw Alejandro",3866814,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
10,"I WANNA BE YOUR SLAVE",Måneskin,3563750,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
11,Yonaguni,"Bad Bunny",3551840,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
12,"Levitating (feat. DaBaby)","Dua Lipa",3285633,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,"Qué Más Pues?","J Balvin",3268096,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
14,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2949425,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
15,"Getting Older","Billie Eilish",2911930,https://open.spotify.com/track/4HOryCnbme0zBnF8LWij3f
16,"Permission to Dance",BTS,2895616,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
17,traitor,"Olivia Rodrigo",2863575,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
18,Pepas,Farruko,2745463,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
19,Butter,BTS,2740398,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
20,"Need To Know","Doja Cat",2687851,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
21,Oxytocin,"Billie Eilish",2672258,https://open.spotify.com/track/4t2OeILB07eMGTXSUbMPEu
22,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2630124,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
23,"I Didn't Change My Number","Billie Eilish",2603983,https://open.spotify.com/track/7bcy34fBT2ap1L4bfPsl9q
24,"Billie Bossa Nova","Billie Eilish",2572488,https://open.spotify.com/track/2KnuaZYoGzDoHiBTNYOTXG
25,"deja vu","Olivia Rodrigo",2532246,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
26,"AM Remix","Nio Garcia",2522469,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
27,"Volando - Remix",Mora,2482867,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
28,"Leave The Door Open","Bruno Mars",2474459,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
29,NDA,"Billie Eilish",2408254,https://open.spotify.com/track/38GBNKZUhfBkk3oNlWzRYd
