Position,"Track Name",Artist,URL
1,"Diamond in the rough","Arik Ancelin",https://open.spotify.com/track/54AtiA08i3sDfJYsBYZHPw
2,FMRN,Lilyisthatyou,https://open.spotify.com/track/08hB2ERJV6A1Ntu3OHgzjh
3,"Smells Like Teen Spirit","Malia J",https://open.spotify.com/track/1gnSosKDAUGYPTkTLiG5DW
4,"Chaise Longue","Wet Leg",https://open.spotify.com/track/7iqAuZe5yS0suLQcFfVK39
5,"Rabs (feat. Ray 'Rabs' Warren)","Roy Bing",https://open.spotify.com/track/5CcmN1lS63NSTXZlJb6Hmd
6,"Bezos I","Bo Burnham",https://open.spotify.com/track/0Kdj7nwaYQmvhxnqZaIQuW
7,Beggin',Måneskin,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
8,250,"lil golo",https://open.spotify.com/track/70ElLqMFZT6sTVH2BSI23T
9,"My Potna Dem",$ilkMoney,https://open.spotify.com/track/7uWdDOhI3wydISWM1AXN0M
10,"Fancy Like","Walker Hayes",https://open.spotify.com/track/3ZozFqJJlDBNIm4xqxn2ZD
11,Pain,PinkPantheress,https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO
12,Duvet,bôa,https://open.spotify.com/track/7urtwZEtOypb3r8HNi42dT
13,Beethoven,Kenndog,https://open.spotify.com/track/5V7eE5xpJKbBCnzlO4JSNc
14,"Sun Phase","Pretty Girl",https://open.spotify.com/track/1yfUYv5TOkuFbePQubZlEk
15,Passion,PinkPantheress,https://open.spotify.com/track/6ZJqCviTotiIujl1rfcL53
16,"in heat.","Hentai Xander",https://open.spotify.com/track/6T3sH1EuBMijU1MHe2WFJt
17,Dreams,"Jolyon Petch",https://open.spotify.com/track/2J3TcdKkdU42R9zWqWi6LJ
18,"I Used to Care",Louyah,https://open.spotify.com/track/2z9tQz4ygexOYb2SnCPCnP
19,"I Am The Antichrist To You","Kishi Bashi",https://open.spotify.com/track/4pdyMcsYX1DDt9INcTLns8
20,"Bad Habits","Ed Sheeran",https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
21,"I WANNA BE YOUR SLAVE",Måneskin,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
22,"Ride the Lightning (717 Tapes)","Warren Zeiders",https://open.spotify.com/track/6bVZ8tOT8S6wrXJl83zEHU
23,Shit,"Bo Burnham",https://open.spotify.com/track/2xQShwyOMYlX10w8dxbFX1
24,"Renegade (feat. Taylor Swift)","Big Red Machine",https://open.spotify.com/track/1aU1wpYBSpP0M6IiihY5Ue
25,"Welcome to the Internet","Bo Burnham",https://open.spotify.com/track/25AvaE23MXl06YRtQcQoJS
26,"double take",dhruv,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
27,"Love Tonight - Edit",Shouse,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
28,"rises the moon","Liana Flores",https://open.spotify.com/track/51Grh1RyUDcMBbpuyUIUHI
29,"As the World Caves In","Sarah Cothran",https://open.spotify.com/track/2xXNLutYAOELYVObYb1C1S
30,"Running Away","VANO 3000",https://open.spotify.com/track/2lDODk7inZnmUHbIjUnIwP
31,Touchable,Remble,https://open.spotify.com/track/24iwskv8LDFMYRZ6Sr9iyw
32,"All Eyes On Me","Bo Burnham",https://open.spotify.com/track/3rV5y8rcQrwRt9fWGLmjOQ
33,ReSet,Motez,https://open.spotify.com/track/1PIiCOM3ZA3yf1l3zwEneF
34,2055,"Sleepy Hallow",https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
35,Holiday,KSI,https://open.spotify.com/track/14Bcv6siTBPw3TlP84dasC
36,"Alone with You",Arz,https://open.spotify.com/track/7AK01WpnqURCRFbOX4LOHa
37,Loverboy,A-Wall,https://open.spotify.com/track/3CboywxfJIgvHqi2FF4exb
38,"Love Tonight - David Guetta Remix Edit",Shouse,https://open.spotify.com/track/2prnn41CblB8B4yWACDljP
39,"Ain't Shit","Doja Cat",https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
40,"Bongo Cha Cha Cha",Goodboys,https://open.spotify.com/track/7J4zszAZxAyowZp7gNUIUI
41,"All Eyes On Me - Song Only","Bo Burnham",https://open.spotify.com/track/5RXycwlyNdmAYB5srQ4lk2
42,"Give Me A Reason","Jillian Rossi",https://open.spotify.com/track/1qWV2QMhVwWRDAbirrkkf1
43,"Essence (feat. Tems)",WizKid,https://open.spotify.com/track/5FG7Tl93LdH117jEKYl3Cm
44,"SAME ENERGY","The Kid LAROI",https://open.spotify.com/track/3mXOssdHHkN6AvLw6ZgKiL
45,Spaceship,evisu,https://open.spotify.com/track/2cCyRbHI5YrvkkPwrwX4cP
46,"Star Song (with Lil Durk)","Sally Sossa",https://open.spotify.com/track/21CvSW5NIu5Glg9x3BPxjj
47,"Je te laisserai des mots","Patrick Watson",https://open.spotify.com/track/0V5cvmTKsYmF5FmGGEAfmS
48,"Rick & Morty","Soulja Boy",https://open.spotify.com/track/1iAWDVZem3Vx3Pb8fTUTEL
49,"Starting Line","Luke Hemmings",https://open.spotify.com/track/3tIQg7bErGUNgE6nZ2TXZ2
50,"Attracted To You",PinkPantheress,https://open.spotify.com/track/4fPjI40ElIwJQ4DJJxSCOe
